plot_uniq_ID,vegetation,plot_ID,clayall,clay20,clay40,clay60,ai,hmod,strc,fdis,hm,wd,sla,ldmc,lcc,lnc,sesmpd,agb,socall,soc20,soc40,soc60,stnall,stn20,stn40,stn60,scnall,scn20,scn40,scn60
68,Parkland,H03,-0.527138701,-0.684262305,-0.519824728,-0.59800131,0.553126577,1.209145874,-0.569602955,-0.777835696,0.108710356,-2.443460476,1.487191806,-2.07402923,-1.702296235,-0.077866084,1.144783527,0.701400295,0.6987513,0.722386711,1.041329701,-0.719448179,0.371181708,0.624759901,0.643436234,-0.761668455,0.480800394,0.048091736,0.734217698,0.112590492
69,Parkland,H04,-0.446984824,-0.613240677,-0.475095622,-0.081985956,0.437432879,0.476220699,-1.557429055,-0.925398723,-0.053258471,1.282800196,-0.163940102,0.349020968,1.307832257,-1.184493158,0.536311,-0.841764148,-0.395892557,-1.409657973,1.328949929,-0.242963125,-0.051733085,-1.180984017,1.330947092,0.156291869,-0.580728798,-0.735795361,-0.083878156,-0.567214199
70,Parkland,H05,-1.234447874,-0.883122866,-1.21409824,-1.918754894,0.593572341,0.424855048,-1.308829917,-0.870295421,-0.628807092,0.990818296,-0.704657175,-0.291259101,0.634143071,-0.968775184,0.897829302,-1.313774321,-0.470485138,-0.602310563,0.003561125,0.23463425,0.110377691,-0.333516302,0.552425316,0.72681628,-1.007877995,-0.505741539,-1.039284043,-0.746898258
72,Parkland,H07,-2.418147617,-1.728698022,-2.24092293,-2.655919685,0.570997961,1.5089759,-1.653115923,-0.046990053,-0.642477718,0.728063954,-0.950768586,0.222947323,-0.163546879,-1.518165965,-0.671425719,-0.182241908,0.145840257,-1.097302778,0.557481509,2.267972871,0.445551287,-0.612027993,0.495562433,1.652698217,-0.614562398,-1.178861981,0.046181821,-0.016183084
74,Parkland,H09,-1.063668085,-0.905682677,-1.006010661,-1.218448342,0.456244862,0.990690542,-0.422227532,-1.631374582,0.473421256,-0.33532577,2.46489706,-0.170544563,1.767378529,-0.254830723,0.331830676,-0.567515581,-0.646811248,-0.225572756,-1.459104917,-0.089990438,-0.453622048,-0.007823381,-1.086467771,-0.154677908,-0.255080401,-0.39923514,-0.734808953,0.193448319
75,Parkland,H10,-1.629212826,-1.414531758,-1.550538906,-1.679176336,0.616146721,1.402221713,-1.558340088,2.466515427,0.862127442,0.846682252,0.816364801,-2.789093257,0.02345623,0.865998288,1.20583363,-0.662509192,-0.894375889,-1.435736241,0.259326918,0.207978619,-0.801575181,-0.963394203,0.134953465,-0.505162047,-0.052078802,-1.340751708,0.158046701,1.744720698
76,Savanna,H11,-1.063668085,-0.897327191,-1.079910923,-1.298307861,0.62837451,1.466199054,-0.4966654,1.016818471,-0.714938005,-1.187085694,0.647548351,-2.413772262,1.39511599,-1.117894101,0.547309138,-2.051180502,-0.645074056,-1.151452679,-0.707975595,1.376325109,0.371181708,-1.004813447,0.270492653,1.826020984,-1.680320791,-0.356632581,-1.704716224,-1.061345362
77,Parkland,H12,-1.277582078,-1.353536712,-1.216042984,-1.310593941,0.735602815,1.341511626,-0.940529844,-1.369807233,1.089970427,-0.37235568,2.141913781,-0.12300238,1.109594995,-0.288276716,0.33716689,0.059535872,-0.341938015,-2.048094094,1.589542991,0.293165754,0.281095678,-1.918013289,1.875299516,0.617093239,-1.092461995,-1.310929916,-0.602164452,-0.522293184
78,Parkland,H13,-1.021405281,-0.843016534,-1.072131948,-1.200019222,0.485403437,1.225224877,-0.900049944,-2.285722668,-2.363744245,-0.952481776,-0.175366093,-2.112123897,-3.48677426,0.070668199,0.539980997,-2.514146114,-0.067817673,-0.784701183,0.631793148,1.107254743,0.138603818,0.039119044,-0.344895577,0.940648901,-0.3692688,-1.805119607,2.063965873,-0.034151489
80,Savanna,H15,-0.132373749,0.022591898,-0.134684249,-0.677860829,0.477878643,0.742096965,1.085194753,-0.751596897,-0.659461615,1.186959916,-1.115148292,0.32600344,0.806841069,-0.861905595,0.545017071,-0.846312106,-0.738103483,-0.705680214,-0.249446406,-0.172206536,-0.145497199,-0.222598567,-0.062962913,0.457420233,-1.020565595,-1.038273534,-0.434075483,-0.896634974
81,Forest,H16,-0.210143844,-0.275679053,-0.212555219,-0.425996192,0.489165833,0.649962372,0.885113815,1.779853805,-1.099210106,0.355409751,-0.006660746,-0.431042684,-0.855423249,0.081015214,-1.145530362,-0.438947981,0.92232986,0.769682221,1.152955516,0.002835641,1.030225629,0.673885973,1.734180027,0.255388783,-0.576499598,-0.003031336,-1.096678828,-0.363572265
82,Savanna,I02,0.578957739,0.143360358,0.661392544,0.907043472,0.47035385,-0.982259368,0.042865211,-1.450311604,0.018369315,-2.757146102,1.75533648,-1.805253437,-1.682981298,-0.240913159,0.321154759,0.791430197,2.247155232,1.28871579,1.867448144,2.320303834,1.727265365,0.88658676,1.911162274,1.950250639,-0.225476001,0.474117332,-0.16310121,-0.480366903
84,Parkland,I04,-0.132373749,-0.033369967,-0.224223681,-0.395280992,0.48164104,0.21449593,-1.483486359,0.320656889,0.909816317,-0.366154345,0.279728615,0.132024876,-0.37123124,-0.366202203,0.754130376,-0.564851765,-0.380296663,-0.039812202,-0.163781523,-0.860332099,-0.129588079,0.027500278,0.063221052,-0.154677908,-0.3988732,-0.015812104,-0.493110566,-1.076319033
